response_id,exercise,cycle_phase,coaching_label,min_reps,max_reps,min_form_score,max_form_score,fatigue_level,performance_trend,symmetry_condition,response_type,response_text
R0055,bicep curl,luteal,increase_challenge,7,50,80,100,any,improving,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0056,bicep curl,luteal,increase_challenge,7,50,80,100,any,any,any,main_plus_cycle,"You completed {reps} reps with strong form, so a small increase in challenge may be appropriate next time. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0057,bicep curl,luteal,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0058,bicep curl,luteal,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. If bloating, tiredness, or low motivation affected today’s workout, adjust the session rather than forcing intensity. A lighter session with good control is still useful progress."
R0059,bicep curl,luteal,improve_symmetry,0,50,0,100,high,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0060,bicep curl,luteal,improve_symmetry,0,50,0,100,high,improving,high_diff,main_plus_cycle,"For your next {exercise}, prioritise balanced movement rather than increasing reps. In the luteal phase, fatigue, mood, and recovery needs may increase for some users. If {reps} reps felt difficult, reduce intensity slightly, increase rest, and focus on steady technique."
R0061,bicep curl,luteal,improve_range_of_motion,0,50,55,89,any,improving,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0062,bicep curl,luteal,improve_range_of_motion,0,50,55,89,high,declining,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0063,bicep curl,luteal,progress_gradually,7,50,80,100,low,declining,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. If bloating, tiredness, or low motivation affected today’s workout, adjust the session rather than forcing intensity. A lighter session with good control is still useful progress."
R0064,bicep curl,luteal,progress_gradually,7,50,80,100,any,any,any,main_plus_cycle,"Build gradually from this session. Add reps or resistance slowly rather than jumping too quickly. Because this session is in the luteal phase, performance dips can be normal. Prioritise consistency, hydration, protein, and slower controlled reps rather than chasing a personal best."
R0065,bicep curl,skip,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0066,bicep curl,skip,reduce_intensity,0,8,0,84,any,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0067,bicep curl,skip,focus_control,0,50,55,89,high,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around avoid swinging. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0068,bicep curl,skip,focus_control,0,50,55,89,low,any,any,main_plus_cycle,"Your form was not poor, but it needs more consistency. Slow the movement down and reset between reps. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0069,bicep curl,skip,maintain_quality,7,50,80,100,high,declining,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0070,bicep curl,skip,maintain_quality,7,50,80,100,low,improving,any,main_plus_cycle,"Good session. The priority now is keeping the same standard across more reps without losing control. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0071,bicep curl,skip,increase_challenge,7,50,80,100,medium,any,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0072,bicep curl,skip,increase_challenge,7,50,80,100,medium,any,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0073,bicep curl,skip,prioritise_recovery,0,8,0,84,any,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. Cycle-aware coaching is off for this session, so focus on your movement data: reps, form quality, symmetry, and fatigue. Adjust intensity based on how controlled the exercise felt."
R0074,bicep curl,skip,prioritise_recovery,0,8,0,84,medium,declining,any,main_plus_cycle,"Today looks more like a maintenance session. Rest, hydrate, and avoid pushing extra volume. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0075,bicep curl,skip,improve_symmetry,0,50,0,100,high,any,high_diff,main_plus_cycle,"There appears to be an imbalance in the movement. Focus on even effort and equal range on both sides. Without cycle data, the safest recommendation is to follow your form and fatigue signals. Keep the movement controlled and progress only when the session feels stable."
R0076,bicep curl,skip,improve_symmetry,0,50,0,100,high,any,high_diff,main_plus_cycle,"There appears to be an imbalance in the movement. Focus on even effort and equal range on both sides. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0077,bicep curl,skip,improve_range_of_motion,0,50,55,89,medium,any,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0078,bicep curl,skip,improve_range_of_motion,0,50,55,89,any,improving,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0079,bicep curl,skip,progress_gradually,7,50,80,100,high,declining,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Since cycle tracking was skipped, use general recovery cues. If {reps} reps felt unusually hard, consider rest, hydration, and reducing intensity next time."
R0080,bicep curl,skip,progress_gradually,7,50,80,100,medium,any,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. No cycle phase was selected, so this feedback is based mainly on performance. Use your rep count, form score, and fatigue level to decide whether to maintain, reduce, or progress intensity."
R0081,squat,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0082,squat,menstrual,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"You only completed {reps} reps and your form score was {form_score}, so reduce intensity and focus on controlled, safe movement. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0083,squat,menstrual,focus_control,0,50,55,89,any,declining,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around depth control. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0084,squat,menstrual,focus_control,0,50,55,89,low,stable,any,main_plus_cycle,"Your {exercise} would benefit from slower reps and better control, especially around depth control. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0085,squat,menstrual,maintain_quality,7,50,80,100,low,declining,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. During menstruation, energy can fluctuate. Since you completed {reps} reps, treat this as a maintenance session: reduce pressure, keep technique clean, rest properly, and focus on iron, protein, and hydration after training."
R0086,squat,menstrual,maintain_quality,7,50,80,100,medium,any,any,main_plus_cycle,"Your form score was strong, so maintain this quality and keep the same controlled rhythm next session. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0087,squat,menstrual,increase_challenge,7,50,80,100,low,stable,any,main_plus_cycle,"This was a strong performance. Consider slightly increasing reps or resistance if recovery feels good. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0088,squat,menstrual,increase_challenge,7,50,80,100,medium,declining,any,main_plus_cycle,"Your session suggests you may be ready to progress. Add difficulty gradually while keeping depth control stable. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0089,squat,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Your fatigue level suggests recovery should be the main focus after this session. Because this session is in the menstrual phase, prioritise comfort over intensity. If {reps} reps felt harder than usual, use controlled movement, avoid pushing to failure, and support recovery with fluids and iron-rich meals."
R0090,squat,menstrual,prioritise_recovery,0,8,0,84,high,declining,any,main_plus_cycle,"Because fatigue appears elevated, keep the next session lighter and focus on feeling recovered. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0091,squat,menstrual,improve_symmetry,0,50,0,100,any,declining,high_diff,main_plus_cycle,"Your symmetry difference suggests one side may be working harder than the other. Slow down and match both sides evenly. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0092,squat,menstrual,improve_symmetry,0,50,0,100,any,improving,high_diff,main_plus_cycle,"There appears to be an imbalance in the movement. Focus on even effort and equal range on both sides. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0093,squat,menstrual,improve_range_of_motion,0,50,55,89,medium,improving,any,main_plus_cycle,"Your joint angle range suggests the movement may be slightly restricted. Focus on a comfortable full range of motion. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0094,squat,menstrual,improve_range_of_motion,0,50,55,89,medium,stable,any,main_plus_cycle,"Range of motion should be the main focus next time. Use lighter intensity if needed to move cleanly. As you selected the menstrual phase, the lower rep count may reflect reduced energy or discomfort today. Keep the load lighter, rest longer between sets, hydrate well, and consider iron-rich foods such as leafy greens, beans, lentils, red meat, or fortified cereal."
R0095,squat,menstrual,progress_gradually,7,50,80,100,medium,any,any,main_plus_cycle,"This is a good base to progress from, as long as your form and recovery stay consistent. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0096,squat,menstrual,progress_gradually,7,50,80,100,medium,stable,any,main_plus_cycle,"You are showing signs of progress, but keep increases small and controlled. Your menstrual-phase feedback should be recovery-led today. If cramps, fatigue, or heaviness affected your {exercise}, lower the intensity and choose steady reps rather than forcing progression."
R0097,squat,follicular,reduce_intensity,0,8,0,84,high,declining,any,main_plus_cycle,"Your performance data points towards lowering the challenge for now. Aim for cleaner reps before increasing weight or volume. This phase may support training progression, but your form data should still lead the decision. Keep hip stability clean before adding more reps or weight."
