user_level,exercise,cycle_phase,form_score,reps,left_angle,right_angle,symmetry_diff,fatigue_level,performance_trend,coaching_label
advanced,squat,luteal,72,6,131.6,126.0,5.6,medium,stable,focus_control
advanced,squat,skip,81,3,104.3,103.9,0.4,medium,stable,progress_gradually
intermediate,shoulder_press,menstrual,98,17,105.1,96.7,8.4,medium,declining,progress_gradually
advanced,lunge,menstrual,79,20,149.9,147.5,2.4,low,stable,progress_gradually
advanced,bicep_curl,luteal,67,6,155.5,147.8,7.7,high,declining,prioritise_recovery
advanced,lunge,luteal,66,13,157.9,155.9,2.0,medium,improving,focus_control
advanced,squat,ovulatory,82,11,126.2,119.3,6.9,medium,stable,progress_gradually
intermediate,squat,menstrual,67,6,152.1,149.6,2.5,low,improving,focus_control
beginner,squat,skip,61,6,128.8,136.3,7.5,high,declining,focus_control
intermediate,squat,ovulatory,62,6,140.5,134.8,5.7,high,stable,focus_control
advanced,shoulder_press,follicular,94,20,125.7,131.0,5.3,low,stable,progress_gradually
advanced,lunge,luteal,79,20,101.8,110.4,8.6,high,declining,prioritise_recovery
advanced,bicep_curl,menstrual,84,12,164.5,161.5,3.0,low,stable,progress_gradually
beginner,lunge,skip,44,7,151.9,161.3,9.4,high,stable,reduce_intensity
beginner,lunge,luteal,61,8,125.9,130.3,4.4,medium,stable,focus_control
advanced,squat,menstrual,88,4,147.2,142.6,4.6,low,improving,increase_challenge
advanced,shoulder_press,luteal,66,11,115.1,115.3,0.2,high,stable,focus_control
intermediate,shoulder_press,menstrual,83,18,136.9,133.1,3.8,medium,declining,progress_gradually
beginner,shoulder_press,skip,53,12,166.2,171.5,5.3,low,improving,reduce_intensity
intermediate,bicep_curl,ovulatory,71,16,112.3,109.9,2.4,low,improving,focus_control
advanced,lunge,skip,91,14,105.0,112.2,7.2,high,declining,maintain_quality
beginner,shoulder_press,menstrual,95,13,140.3,141.8,1.5,medium,improving,progress_gradually
advanced,shoulder_press,ovulatory,41,13,112.0,121.0,9.0,low,stable,reduce_intensity
intermediate,bicep_curl,menstrual,55,16,141.2,141.7,0.5,medium,improving,reduce_intensity
intermediate,bicep_curl,ovulatory,89,8,105.3,108.0,2.7,low,stable,progress_gradually
advanced,lunge,ovulatory,92,7,116.5,109.4,7.1,medium,declining,progress_gradually
beginner,lunge,skip,44,8,166.6,169.2,2.6,low,declining,reduce_intensity
intermediate,shoulder_press,skip,79,13,160.5,163.0,2.5,high,declining,maintain_quality
beginner,shoulder_press,menstrual,80,12,155.7,157.5,1.8,medium,stable,progress_gradually
intermediate,squat,ovulatory,42,4,125.8,121.5,4.3,medium,stable,reduce_intensity
advanced,squat,skip,64,17,140.6,149.7,9.1,high,declining,focus_control
advanced,squat,luteal,52,13,142.4,142.4,0.0,high,declining,prioritise_recovery
beginner,shoulder_press,menstrual,45,19,145.2,136.0,9.2,medium,declining,reduce_intensity
advanced,shoulder_press,luteal,79,8,125.5,133.9,8.4,high,declining,prioritise_recovery
intermediate,shoulder_press,ovulatory,43,13,104.6,96.5,8.1,high,declining,reduce_intensity
advanced,shoulder_press,ovulatory,94,7,123.3,125.0,1.7,medium,declining,progress_gradually
beginner,bicep_curl,ovulatory,82,15,109.0,113.2,4.2,high,declining,maintain_quality
beginner,bicep_curl,skip,90,13,156.9,160.3,3.4,medium,declining,progress_gradually
advanced,squat,luteal,41,14,121.6,130.6,9.0,high,stable,reduce_intensity
intermediate,shoulder_press,follicular,49,5,120.7,126.5,5.8,low,improving,reduce_intensity
advanced,squat,ovulatory,78,15,110.8,104.4,6.4,high,improving,maintain_quality
advanced,lunge,luteal,63,10,167.9,170.1,2.2,low,stable,focus_control
advanced,shoulder_press,follicular,59,18,163.3,157.2,6.1,high,improving,focus_control
advanced,shoulder_press,luteal,72,19,129.3,122.5,6.8,medium,stable,focus_control
beginner,lunge,ovulatory,70,14,138.8,130.9,7.9,low,declining,focus_control
advanced,squat,ovulatory,57,17,163.4,156.3,7.1,low,improving,reduce_intensity
intermediate,squat,follicular,99,3,129.0,126.9,2.1,medium,stable,progress_gradually
intermediate,lunge,luteal,54,3,122.3,114.3,8.0,low,stable,reduce_intensity
advanced,bicep_curl,follicular,58,18,148.7,141.5,7.2,low,improving,focus_control
advanced,shoulder_press,luteal,97,5,101.3,95.6,5.7,high,improving,maintain_quality
beginner,shoulder_press,menstrual,59,6,103.3,101.7,1.6,medium,improving,focus_control
advanced,shoulder_press,menstrual,78,20,101.2,101.5,0.3,low,stable,progress_gradually
beginner,lunge,ovulatory,79,14,116.8,115.1,1.7,medium,improving,progress_gradually
advanced,squat,skip,73,20,135.5,145.3,9.8,medium,improving,improve_range_of_motion
advanced,squat,luteal,80,15,168.7,163.8,4.9,medium,improving,progress_gradually
beginner,bicep_curl,menstrual,86,6,154.0,158.7,4.7,medium,improving,progress_gradually
intermediate,lunge,menstrual,61,8,158.1,161.8,3.7,medium,declining,focus_control
advanced,shoulder_press,follicular,85,17,102.6,96.6,6.0,low,improving,progress_gradually
beginner,squat,ovulatory,65,20,133.1,123.8,9.3,medium,declining,focus_control
advanced,lunge,ovulatory,95,13,119.1,125.1,6.0,medium,improving,progress_gradually
intermediate,shoulder_press,luteal,51,18,148.4,145.7,2.7,medium,stable,reduce_intensity
advanced,bicep_curl,menstrual,45,16,142.2,148.6,6.4,high,stable,reduce_intensity
advanced,bicep_curl,ovulatory,60,12,121.5,123.6,2.1,low,improving,focus_control
intermediate,lunge,luteal,42,14,143.0,141.7,1.3,medium,stable,reduce_intensity
advanced,squat,menstrual,65,14,135.9,140.9,5.0,high,declining,prioritise_recovery
beginner,squat,follicular,90,17,102.4,93.7,8.7,high,declining,improve_range_of_motion
advanced,bicep_curl,ovulatory,42,7,147.5,156.5,9.0,medium,declining,reduce_intensity
intermediate,shoulder_press,menstrual,73,14,127.9,130.9,3.0,high,improving,maintain_quality
beginner,squat,menstrual,71,19,127.1,128.3,1.2,high,improving,focus_control
intermediate,bicep_curl,luteal,58,18,114.0,106.7,7.3,low,declining,focus_control
beginner,shoulder_press,follicular,45,13,146.7,150.9,4.2,high,stable,reduce_intensity
advanced,bicep_curl,ovulatory,85,8,155.6,155.8,0.2,low,declining,progress_gradually
beginner,lunge,follicular,41,14,138.8,136.2,2.6,low,stable,reduce_intensity
advanced,lunge,skip,59,15,170.0,174.4,4.4,low,improving,focus_control
advanced,shoulder_press,luteal,48,13,145.0,144.0,1.0,high,improving,reduce_intensity
advanced,bicep_curl,follicular,77,8,153.7,146.3,7.4,high,declining,maintain_quality
advanced,squat,menstrual,59,8,111.3,120.0,8.7,high,improving,focus_control
beginner,bicep_curl,skip,56,9,144.5,145.5,1.0,medium,improving,reduce_intensity
beginner,bicep_curl,skip,72,8,141.4,143.0,1.6,high,improving,focus_control
beginner,bicep_curl,skip,45,4,166.4,171.8,5.4,low,improving,reduce_intensity
intermediate,lunge,skip,80,3,134.9,137.4,2.5,medium,declining,progress_gradually
intermediate,bicep_curl,luteal,65,12,131.7,135.5,3.8,low,declining,focus_control
beginner,shoulder_press,luteal,53,13,142.5,138.8,3.7,medium,stable,reduce_intensity
advanced,bicep_curl,ovulatory,88,14,136.0,128.1,7.9,medium,improving,progress_gradually
beginner,shoulder_press,menstrual,55,7,106.8,102.6,4.2,medium,stable,reduce_intensity
intermediate,shoulder_press,follicular,99,13,113.3,106.5,6.8,low,stable,progress_gradually
advanced,shoulder_press,luteal,41,5,166.2,166.3,0.1,medium,stable,reduce_intensity
beginner,lunge,skip,43,12,134.6,142.2,7.6,medium,improving,reduce_intensity
advanced,shoulder_press,ovulatory,94,6,130.2,137.8,7.6,high,improving,maintain_quality
advanced,bicep_curl,luteal,65,4,139.9,133.8,6.1,medium,improving,focus_control
advanced,bicep_curl,menstrual,68,20,119.6,129.4,9.8,medium,declining,focus_control
advanced,squat,follicular,63,13,139.0,136.3,2.7,low,stable,focus_control
beginner,lunge,skip,72,4,103.2,95.9,7.3,high,stable,focus_control
intermediate,shoulder_press,skip,78,19,109.8,118.4,8.6,medium,improving,progress_gradually
intermediate,lunge,luteal,93,12,141.6,141.7,0.1,high,declining,prioritise_recovery
advanced,shoulder_press,skip,92,3,125.8,129.3,3.5,medium,stable,progress_gradually
intermediate,bicep_curl,menstrual,56,10,150.5,152.2,1.7,high,stable,reduce_intensity
beginner,shoulder_press,follicular,42,6,113.4,112.2,1.2,high,improving,reduce_intensity
intermediate,lunge,luteal,66,19,154.2,162.6,8.4,high,improving,focus_control
advanced,squat,follicular,75,13,169.9,169.5,0.4,high,improving,maintain_quality
intermediate,bicep_curl,follicular,61,20,124.8,130.2,5.4,medium,declining,focus_control
advanced,bicep_curl,skip,55,11,139.1,133.6,5.5,medium,improving,reduce_intensity
intermediate,bicep_curl,follicular,71,13,133.6,134.8,1.2,high,declining,focus_control
advanced,bicep_curl,ovulatory,83,20,126.6,136.2,9.6,low,declining,progress_gradually
intermediate,lunge,ovulatory,85,5,124.2,123.0,1.2,low,stable,progress_gradually
intermediate,shoulder_press,follicular,57,20,148.7,141.4,7.3,low,declining,reduce_intensity
advanced,lunge,follicular,97,19,115.8,110.5,5.3,low,declining,progress_gradually
beginner,shoulder_press,ovulatory,46,7,100.4,101.4,1.0,high,stable,reduce_intensity
beginner,shoulder_press,luteal,52,12,122.5,125.4,2.9,medium,declining,reduce_intensity
beginner,lunge,skip,94,4,163.9,157.4,6.5,high,declining,maintain_quality
beginner,squat,luteal,99,12,161.4,151.6,9.8,medium,improving,progress_gradually
advanced,squat,ovulatory,81,20,136.7,144.5,7.8,medium,stable,progress_gradually
beginner,shoulder_press,ovulatory,61,8,151.2,154.2,3.0,low,improving,focus_control
advanced,lunge,menstrual,90,12,139.7,144.8,5.1,high,stable,maintain_quality
beginner,shoulder_press,luteal,45,15,146.8,140.5,6.3,high,stable,reduce_intensity
beginner,shoulder_press,ovulatory,56,15,116.5,121.6,5.1,low,improving,reduce_intensity
intermediate,bicep_curl,skip,40,11,145.8,149.7,3.9,high,declining,reduce_intensity
beginner,squat,luteal,65,19,164.6,172.4,7.8,medium,improving,focus_control
intermediate,squat,ovulatory,54,10,167.0,166.6,0.4,medium,declining,reduce_intensity
intermediate,bicep_curl,luteal,98,18,153.0,159.0,6.0,high,declining,prioritise_recovery
beginner,lunge,skip,68,19,149.3,140.9,8.4,low,declining,focus_control
advanced,squat,menstrual,52,20,110.5,107.1,3.4,high,declining,prioritise_recovery
advanced,shoulder_press,menstrual,85,18,106.4,106.6,0.2,high,improving,maintain_quality
beginner,shoulder_press,follicular,69,4,139.1,142.6,3.5,high,stable,focus_control
intermediate,squat,luteal,87,9,140.5,131.4,9.1,medium,improving,progress_gradually
intermediate,squat,skip,99,18,102.2,100.4,1.8,low,improving,increase_challenge
beginner,shoulder_press,ovulatory,95,15,126.3,130.0,3.7,medium,stable,progress_gradually
advanced,lunge,ovulatory,74,15,137.0,141.6,4.6,low,improving,maintain_quality
beginner,squat,menstrual,83,20,129.7,127.3,2.4,medium,stable,progress_gradually
beginner,lunge,luteal,57,9,165.6,170.1,4.5,medium,improving,reduce_intensity
beginner,squat,luteal,55,9,104.7,106.6,1.9,high,improving,reduce_intensity
intermediate,squat,follicular,65,17,116.4,110.7,5.7,high,improving,focus_control
beginner,lunge,skip,92,13,140.4,145.9,5.5,medium,improving,progress_gradually
intermediate,lunge,ovulatory,73,10,128.9,124.4,4.5,low,declining,maintain_quality
advanced,lunge,luteal,43,14,165.9,169.3,3.4,high,stable,reduce_intensity
advanced,bicep_curl,luteal,59,15,112.9,113.7,0.8,medium,improving,focus_control
beginner,lunge,ovulatory,91,17,164.0,165.2,1.2,high,improving,maintain_quality
intermediate,lunge,luteal,53,13,145.3,153.7,8.4,low,stable,reduce_intensity
intermediate,squat,skip,43,11,126.4,128.5,2.1,high,improving,reduce_intensity
beginner,squat,follicular,82,20,115.2,109.4,5.8,high,declining,maintain_quality
intermediate,bicep_curl,menstrual,87,6,152.3,157.4,5.1,low,improving,progress_gradually
beginner,lunge,luteal,60,12,126.6,127.3,0.7,low,declining,focus_control
intermediate,bicep_curl,ovulatory,96,18,132.6,138.7,6.1,medium,declining,progress_gradually
advanced,shoulder_press,ovulatory,60,16,103.2,110.5,7.3,low,stable,focus_control
advanced,lunge,menstrual,99,16,120.7,114.6,6.1,medium,declining,progress_gradually
beginner,shoulder_press,skip,75,13,118.0,124.4,6.4,low,stable,maintain_quality
advanced,shoulder_press,luteal,90,14,111.8,116.2,4.4,low,declining,progress_gradually
intermediate,lunge,skip,73,4,158.7,150.2,8.5,high,improving,improve_range_of_motion
advanced,squat,menstrual,93,10,104.8,97.8,7.0,medium,improving,progress_gradually
beginner,shoulder_press,ovulatory,80,18,146.1,136.4,9.7,low,declining,progress_gradually
advanced,shoulder_press,menstrual,86,11,137.5,133.2,4.3,low,declining,progress_gradually
advanced,shoulder_press,follicular,73,7,116.9,119.3,2.4,low,improving,maintain_quality
intermediate,bicep_curl,ovulatory,63,15,132.1,127.0,5.1,medium,improving,focus_control
advanced,lunge,ovulatory,81,4,106.5,104.1,2.4,high,improving,maintain_quality
advanced,shoulder_press,menstrual,84,8,105.8,112.7,6.9,high,improving,maintain_quality
advanced,bicep_curl,skip,98,4,116.1,124.1,8.0,low,declining,progress_gradually
advanced,shoulder_press,ovulatory,83,11,163.0,164.3,1.3,low,improving,progress_gradually
beginner,lunge,ovulatory,77,7,152.7,157.0,4.3,low,improving,maintain_quality
intermediate,squat,ovulatory,55,15,147.4,148.2,0.8,low,declining,reduce_intensity
intermediate,lunge,menstrual,62,4,106.8,101.4,5.4,high,declining,prioritise_recovery
beginner,bicep_curl,skip,65,13,102.1,97.6,4.5,high,declining,focus_control
intermediate,shoulder_press,follicular,100,15,130.2,133.8,3.6,medium,declining,progress_gradually
advanced,shoulder_press,menstrual,91,10,149.9,141.5,8.4,high,stable,improve_range_of_motion
beginner,shoulder_press,follicular,60,14,107.5,97.6,9.9,high,stable,focus_control
intermediate,shoulder_press,ovulatory,48,5,113.1,112.1,1.0,medium,improving,reduce_intensity
advanced,shoulder_press,menstrual,62,20,106.5,108.5,2.0,low,improving,focus_control
intermediate,shoulder_press,menstrual,64,5,150.7,151.9,1.2,medium,stable,focus_control
beginner,lunge,luteal,57,12,118.8,111.7,7.1,low,improving,reduce_intensity
beginner,shoulder_press,ovulatory,70,5,125.3,134.2,8.9,medium,stable,focus_control
advanced,shoulder_press,skip,69,6,109.5,99.6,9.9,high,improving,focus_control
intermediate,bicep_curl,skip,68,13,130.1,136.6,6.5,medium,stable,focus_control
advanced,lunge,ovulatory,100,9,133.5,127.1,6.4,medium,declining,progress_gradually
intermediate,bicep_curl,ovulatory,80,18,167.7,173.3,5.6,high,declining,maintain_quality
intermediate,shoulder_press,ovulatory,47,9,141.5,142.4,0.9,medium,stable,reduce_intensity
advanced,squat,luteal,68,12,158.2,149.6,8.6,high,improving,focus_control
intermediate,shoulder_press,follicular,55,11,146.1,150.4,4.3,high,stable,reduce_intensity
intermediate,squat,luteal,77,15,137.4,145.9,8.5,high,stable,improve_range_of_motion
advanced,shoulder_press,skip,84,20,141.6,149.9,8.3,low,stable,progress_gradually
beginner,lunge,ovulatory,79,4,139.4,142.3,2.9,low,declining,progress_gradually
advanced,shoulder_press,ovulatory,40,6,118.1,118.3,0.2,medium,improving,reduce_intensity
advanced,lunge,luteal,69,19,110.6,120.6,10.0,medium,stable,focus_control
intermediate,squat,ovulatory,47,7,124.4,121.3,3.1,medium,improving,reduce_intensity
beginner,shoulder_press,ovulatory,68,17,122.3,118.3,4.0,medium,improving,focus_control
